id,name,urban_area,state_code,state,postcode,type,latitude,longitude,elevation,population,area,local_government_area,timezone,bordering_location_ids
2500,Carlisle,Perth,WA,Western Australia,6101,Suburb,-31.97507,115.91493,19,6475,2.542,Victoria Park (Town),Australia/Perth,4273/6904/7508/11417/13710/14218
2501,Carlisle River,,VIC,Victoria,3239,Rural locality,-38.55648,143.39883,38,135,191.239,Colac-Otway (Shire),Australia/Melbourne,875/2691/4694/5057/6415/7524/12018/14972
2502,Carlotta,,WA,Western Australia,6275,Rural locality,-34.09698,115.77852,205,97,364.218,Nannup (Shire),Australia/Perth,1119/3713/3946/4256/5317/6463/9664/10650
2503,Carlsruhe,,VIC,Victoria,3442,Rural locality,-37.28656,144.51382,532,327,38.336,Macedon Ranges (Shire),Australia/Melbourne,2231/7290/7291/9847/10850/13489/14761
2504,Carlton,Sydney,NSW,New South Wales,2218,Suburb,-33.96852,151.12453,38,10722,2.065,Georges River (Area),Australia/Sydney,140/1103/1107/1288/2562/6304/7102/7103/12160
2505,Carlton,,TAS,Tasmania,7173,Urban locality,-42.86662,147.645,39,1119,7.948,Sorell (Municipality),Australia/Hobart,2508/3927/4832
2506,Carlton,Melbourne,VIC,Victoria,3053,Suburb,-37.79744,144.97012,44,18535,1.749,Melbourne (City),Australia/Melbourne,2507/4250/4773/8413/10568
2507,Carlton North,Melbourne,VIC,Victoria,3054,Suburb,-37.78434,144.96975,46,6300,1.871,Yarra (City),Australia/Melbourne,1878/1880/2506/4773/4777/10568/11057
2508,Carlton River,,TAS,Tasmania,7173,Rural locality,-42.86682,147.69999,41,265,28.412,Sorell (Municipality),Australia/Hobart,2505/3108/3261/4093/4832/11052
2509,Carlyle,,VIC,Victoria,3685,Rural locality,-35.99939,146.4832,151,79,35.685,Indigo (Shire),Australia/Melbourne,5461/6195/6252/11659/13767
