id,name,urban_area,state_code,state,postcode,type,latitude,longitude,elevation,population,area,local_government_area,timezone,bordering_location_ids
5383,Gogeldrie,,NSW,New South Wales,2705,Rural locality,-34.55557,146.28289,133,91,103.559,Leeton (Area),Australia/Sydney,3709/4585/7561/12329/14428/15049
5384,Golconda,,TAS,Tasmania,7254,Rural locality,-41.16372,147.30825,114,26,53.114,Dorset (Municipality),Australia/Hobart,1733/7550/7701/9618/10849/14973
5385,Golden Bay,Perth,WA,Western Australia,6174,Suburb,-32.42513,115.75827,8,3785,4.415,Rockingham (City),Australia/Perth,6756/11872/12025
5386,Golden Beach,Sunshine Coast,QLD,Queensland,4551,Suburb,-26.82302,153.11987,5,5575,2.819,Sunshine Coast (Regional Council),Australia/Brisbane,2289/2290/10665
5387,Golden Beach,,VIC,Victoria,3851,Rural locality,-38.2296,147.36274,2,293,19.422,Wellington (Shire),Australia/Melbourne,4164/4786/10523
5388,Golden Fleece,,QLD,Queensland,4621,Rural locality,-25.3404,152.11023,138,49,244.132,North Burnett (Regional Council),Australia/Brisbane,1491/1539/1839/3634/3965/4575/7222/7407/10004/14894
5389,Golden Grove,Adelaide,SA,South Australia,5125,Suburb,-34.78899,138.69694,207,10235,17.387,Tea Tree Gully (City),Australia/Adelaide,4645/5504/5642/5707/11699/12608/13585/14986/15142
5390,Golden Gully,Bendigo,VIC,Victoria,3555,Suburb,-36.7927,144.26488,270,211,3.216,Greater Bendigo (City),Australia/Melbourne,5394/6697/11127/12284
5391,Golden Heights,,SA,South Australia,5322,Rural locality,-34.20301,139.93784,48,269,9.632,Loxton Waikerie (District Council),Australia/Adelaide,11176/11177/13771
5392,Golden Point,Ballarat,VIC,Victoria,3350,Suburb,-37.57075,143.86496,445,2107,1.849,Ballarat (City),Australia/Melbourne,524/571/572/2363/9288
5393,Golden Point,,VIC,Victoria,3451,Rural locality,-37.0708,144.2748,339,105,8.387,Mount Alexander (Shire),Australia/Melbourne,697/2756/2757/4660/8920
5394,Golden Square,Bendigo,VIC,Victoria,3555,Suburb,-36.77973,144.25028,239,8820,8.49,Greater Bendigo (City),Australia/Melbourne,1004/5390/6405/6697/8035/11127/14260
5395,Golden Valley,,TAS,Tasmania,7304,Rural locality,-41.65053,146.74471,553,231,73.563,Meander Valley (Municipality),Australia/Hobart,2911/3795/6447/7636/8385/11121
5396,Goldfields,,QLD,Queensland,4374,Rural locality,-28.48652,151.71441,681,28,218.888,Southern Downs (Regional Council),Australia/Brisbane,200/2655/10460/10590/10774/12953
5397,Goldie,,VIC,Victoria,3435,Rural locality,-37.25609,144.80306,597,227,33.792,Macedon Ranges (Shire),Australia/Melbourne,7445/10172/12277/14529
5398,Goldsborough,,QLD,Queensland,4865,Urban locality,-17.153,145.74391,107,929,65.826,Cairns (Regional Council),Australia/Brisbane,4977/5484/7434/7723/14887
5399,Goldsborough,,VIC,Victoria,3472,Rural locality,-36.82506,143.67694,232,36,27.604,Central Goldfields (Shire),Australia/Melbourne,837/4124/4133/8798/10450
5400,Gol Gol,Buronga,NSW,New South Wales,2738,Suburb,-34.18009,142.21953,44,1523,20.48,Wentworth (Area),Australia/Sydney,2119/8078/8594/9911/13358/14227
5401,Gollan,,NSW,New South Wales,2820,Rural locality,-32.25852,149.07022,408,127,249.3,Western Plains Regional (Area),Australia/Sydney,585/3072/4427/5099/5430/12248
5402,Golspie,,NSW,New South Wales,2580,Rural locality,-34.29085,149.66298,904,58,205.206,Upper Lachlan Shire (Area),Australia/Sydney,331/3579/4963/7314/10461/11358/12456/15022
5403,Gomersal,,SA,South Australia,5352,Rural locality,-34.53346,138.90882,218,53,18.878,Light (Regional Council),Australia/Adelaide,11533/11607/11896/11943/12790
5404,Gong Gong,,VIC,Victoria,3352,Rural locality,-37.55081,143.93221,507,9,3.406,Ballarat (City),Australia/Melbourne,1850/5326/7574/10935/14038
5405,Gongolgon,,NSW,New South Wales,2839,Rural locality,-30.48099,146.70825,175,40,2212.878,Brewarrina (Area),Australia/Sydney,1714/2209/2491/3139/13024
5406,Gonn,,NSW,New South Wales,2732,Rural locality,-35.47353,143.96366,76,41,186.423,Murray River (Area),Australia/Sydney,690/2953/5407/9515/9575/9975/14366
5407,Gonn Crossing,,VIC,Victoria,3579,Rural locality,-35.50803,143.95598,79,56,7.867,Gannawarra (Shire),Australia/Melbourne,2953/5406/9515/9516
5408,Goobarragandra,,NSW,New South Wales,2720,Rural locality,-35.39365,148.42826,396,70,505.086,Snowy Valleys (Area),Australia/Sydney,320/1161/1374/1756/7305/7727/7803/14237/15116
5409,Gooburrum,,QLD,Queensland,4670,Rural locality,-24.82168,152.32317,6,1442,27.768,Bundaberg (Regional Council),Australia/Brisbane,2013/4651/6662/8383/10259/11623/14194
5410,Goodar,,QLD,Queensland,4390,Rural locality,-28.24207,150.11798,216,65,751.637,Goondiwindi (Regional Council),Australia/Brisbane,1149/2275/5452/7925/13218
5411,Goode Beach,,WA,Western Australia,6330,Rural locality,-35.08617,117.93715,8,217,1.165,Albany (City),Australia/Perth,1132/13281/13673
5412,Good Forest,,NSW,New South Wales,2790,Rural locality,-33.59412,150.09865,905,35,22.142,Lithgow (City),Australia/Sydney,5859/5910/7897/11666
5413,Goodger,,QLD,Queensland,4610,Rural locality,-26.67177,151.81736,467,187,81.173,South Burnett (Regional Council),Australia/Brisbane,1818/3141/5827/6146/6387/7241/12668
5414,Good Hope,,NSW,New South Wales,2582,Rural locality,-34.89668,148.83862,579,165,142.293,Yass Valley (Area),Australia/Sydney,1340/1616/2148/2625/8182/9709/14828/15139
5415,Good Hope Landing,,SA,South Australia,5330,Rural locality,-34.17515,140.13743,31,19,14.361,Loxton Waikerie (District Council),Australia/Adelaide,3845/6712/7845/10929/14465/14849
5416,Goodlands,,WA,Western Australia,6468,Rural locality,-30.10833,117.20889,316,49,2116.359,Dalwallinu (Shire),Australia/Perth,6542/6642/7221/8800/9366/10615/11316/15000
5417,Goodna,Brisbane,QLD,Queensland,4300,Suburb,-27.60956,152.89926,18,10461,7.849,Ipswich (City),Australia/Brisbane,940/2333/4981/8774/11240/13748
5418,Goodnight,,NSW,New South Wales,2736,Rural locality,-34.9217,143.37661,67,100,93.175,Murray River (Area),Australia/Sydney,6846/7279/9742/13231
5419,Good Night,,QLD,Queensland,4671,Rural locality,-25.31021,151.89709,131,117,254.362,Bundaberg (Regional Council),Australia/Brisbane,1539/3291/3634/3981/8679/8995/9282/12319/14073
5420,Goodooga,,NSW,New South Wales,2838,Urban locality,-29.11305,147.45255,144,247,3488.148,Brewarrina (Area),Australia/Sydney,233/3534/5993/7637/9710/12702/14187
5421,Goodwood,,QLD,Queensland,4660,Rural locality,-25.09903,152.3756,51,175,65.026,Bundaberg (Regional Council),Australia/Brisbane,2188/4419/4670/7054/10056/11281/14769
5422,Goodwood,Adelaide,SA,South Australia,5034,Suburb,-34.95052,138.58958,40,2986,0.923,Unley (City),Australia/Adelaide,4861/6311/8636/13544/14150
5423,Goodwood,Hobart,TAS,Tasmania,7010,Suburb,-42.82909,147.29148,12,1049,0.54,Glenorchy (City),Australia/Hobart,3831/4001/5319
5424,Goodwood Island,,NSW,New South Wales,2469,Rural locality,-29.38174,153.31206,-1,69,10.048,Clarence Valley (Area),Australia/Sydney,2721/4931/5916/6336/10479/12997/14860
5425,Googa Creek,,QLD,Queensland,4306,Rural locality,-26.97416,152.01127,571,43,74.09,Toowoomba (Regional Council),Australia/Brisbane,226/1231/2741/4454/5139/9089
5426,Googong,,NSW,New South Wales,2620,Rural locality,-35.39178,149.23076,692,2690,71.899,Queanbeyan-Palerang Regional (Area),Australia/Sydney,2122/2570/4488/5612/6526/6729/11614/13334/15133
5427,Goolboo,,QLD,Queensland,4856,Rural locality,-17.71919,146.02697,14,19,5.589,Cassowary Coast (Regional Council),Australia/Brisbane,3368/3370/8345/9948/11997/14052
5428,Goolgowi,,NSW,New South Wales,2652,Urban locality,-33.98355,145.70808,123,402,864.798,Carrathool (Area),Australia/Sydney,1516/2542/5728/8412/8509/11202/12672
5429,Goolhi,,NSW,New South Wales,2379,Rural locality,-31.06754,149.71205,358,88,453.817,Warrumbungle Shire (Area),Australia/Sydney,3672/5108/9414/9963/11471/13035/14491
5430,Goolma,,NSW,New South Wales,2852,Rural locality,-32.34614,149.25687,442,102,244.462,Mid-Western Regional (Area),Australia/Sydney,4113/4427/5401/8388/10745/12248/13470/13477
5431,Goolman,,QLD,Queensland,4306,Rural locality,-27.73684,152.76082,90,42,21.013,Ipswich (City),Australia/Brisbane,3763/10623/11092/12204
5432,Goolmangar,,NSW,New South Wales,2480,Rural locality,-28.74717,153.22592,15,188,13.161,Lismore (City),Australia/Sydney,1287/6543/6807/7146/12987
5433,Gooloogong,,NSW,New South Wales,2805,Rural locality,-33.65964,148.41742,293,399,289.854,Cowra (Area),Australia/Sydney,1154/2002/2403/3373/4555/10618/14008
5434,Goolwa,,SA,South Australia,5214,Major urban locality,-35.50256,138.78459,10,2350,17.345,Alexandrina (District Council),Australia/Adelaide,3580/5435/5436/5437/6129/8568
5435,Goolwa Beach,Victor Harbor - Goolwa,SA,South Australia,5214,Suburb,-35.51069,138.77109,14,2128,4.036,Alexandrina (District Council),Australia/Adelaide,5434/5437/8568
5436,Goolwa North,Victor Harbor - Goolwa,SA,South Australia,5214,Suburb,-35.49521,138.81412,6,1016,7.897,Alexandrina (District Council),Australia/Adelaide,3580/5434/6129
5437,Goolwa South,Victor Harbor - Goolwa,SA,South Australia,5214,Suburb,-35.51332,138.78474,3,971,11.559,Alexandrina (District Council),Australia/Adelaide,3231/5434/5435/6129/9455
5438,Goomalibee,,VIC,Victoria,3673,Rural locality,-36.46535,145.85947,158,83,60.944,Benalla (Rural City),Australia/Melbourne,991/1799/5462/12378/12834/13549
5439,Goomalling,,WA,Western Australia,6460,Urban locality,-31.29853,116.82696,247,562,45.19,Goomalling (Shire),Australia/Perth,6269/6766/13504/13878
5440,Goomally,,QLD,Queensland,4702,Rural locality,-24.32223,149.27923,162,22,1324.644,Central Highlands (Regional Council),Australia/Brisbane,801/4022/6270/8659/10338/14870/14884
5441,Goomarin,,WA,Western Australia,6415,Rural locality,-31.23887,118.41367,359,19,277.815,Merredin (Shire),Australia/Perth,2127/2679/10165/12712/13795/14020
5442,Goombargana,,NSW,New South Wales,2646,Rural locality,-35.79944,146.57523,196,52,121.485,Greater Hume Shire (Area),Australia/Sydney,579/1789/3747/11186/13788
5443,Goombi,,QLD,Queensland,4413,Rural locality,-26.7238,150.41187,328,34,110.759,Western Downs (Regional Council),Australia/Brisbane,2325/3053/5629/11675
5444,Goomboorian,,QLD,Queensland,4570,Rural locality,-26.07177,152.791,71,499,47.288,Gympie (Regional Council),Australia/Brisbane,3998/6929/11571/13228/14557/14693
5445,Goombungee,,QLD,Queensland,4354,Urban locality,-27.30734,151.85136,504,1026,76.479,Toowoomba (Regional Council),Australia/Brisbane,1041/1456/3982/5796/6081/6944/9480/12005
5446,Goomburra,,QLD,Queensland,4362,Rural locality,-28.04487,152.12092,531,259,181.545,Southern Downs (Regional Council),Australia/Brisbane,1036/1235/2896/4233/4858/5187/8286/10025/12835/13322/13608
5447,Goomeri,,QLD,Queensland,4601,Urban locality,-26.18254,152.06867,250,664,106.08,Gympie (Regional Council),Australia/Brisbane,669/1497/2819/5448/6985/8163/8908/11256
5448,Goomeribong,,QLD,Queensland,4601,Rural locality,-26.13525,152.01031,279,41,62.521,Gympie (Regional Council),Australia/Brisbane,1497/3473/5447/8163/12677
5449,Goondi,,QLD,Queensland,4860,Rural locality,-17.50486,146.00259,13,56,2.958,Cassowary Coast (Regional Council),Australia/Brisbane,982/3524/3680/4767/5450/6262/10274/12572
5450,Goondi Bend,Innisfail,QLD,Queensland,4860,Suburb,-17.51922,146.01065,6,594,2.465,Cassowary Coast (Regional Council),Australia/Brisbane,612/3524/5449/5451/6262
5451,Goondi Hill,Innisfail,QLD,Queensland,4860,Suburb,-17.52464,146.01713,13,510,2.259,Cassowary Coast (Regional Council),Australia/Brisbane,612/3524/5450/6377/8585
5452,Goondiwindi,,QLD,Queensland,4390,Urban locality,-28.54702,150.3077,219,6355,830.28,Goondiwindi (Regional Council),Australia/Brisbane,1149/1370/2275/5410/7268/14714/14949
5453,Goonellabah,Lismore,NSW,New South Wales,2480,Suburb,-28.81984,153.3177,183,12900,23.106,Lismore (City),Australia/Sydney,2766/4245/7316/7678/7702/7704/8814/11366/13350/14994
5454,Goonengerry,,NSW,New South Wales,2482,Rural locality,-28.61079,153.43967,267,366,27.708,Byron (Area),Australia/Sydney,3224/4685/8855/11327/13563/13922/14554
5455,Goongerah,,VIC,Victoria,3888,Rural locality,-37.33782,148.69795,260,31,323.335,East Gippsland (Shire),Australia/Melbourne,1005/1420/2912/3060/4513/10210/15035
5456,Goon Nure,,VIC,Victoria,3875,Rural locality,-37.96099,147.53834,29,119,173.093,East Gippsland (Shire),Australia/Melbourne,512/1012/4862/6112/6159/7680/7755/11845
5457,Goonoo Forest,,NSW,New South Wales,2830,Rural locality,-32.08911,148.74135,392,10,505.043,Western Plains Regional (Area),Australia/Sydney,585/1702/4047/4113/4427/4563/8443/8784
5458,Goonoo Goonoo,,NSW,New South Wales,2340,Rural locality,-31.28818,150.9197,458,61,33.849,Tamworth Regional (Area),Australia/Sydney,4157/5022/5516/7819/13134
5459,Goonumbla,,NSW,New South Wales,2870,Rural locality,-32.93745,148.06022,284,111,330.826,Parkes (Area),Australia/Sydney,107/1869/3137/10548/10625
5460,Gooram,,VIC,Victoria,3666,Rural locality,-36.90123,145.58419,271,148,108.705,Strathbogie (Shire),Australia/Melbourne,3421/4581/6835/8517/12493/12942
5461,Gooramadda,,VIC,Victoria,3685,Rural locality,-35.99847,146.57478,157,58,37.59,Indigo (Shire),Australia/Melbourne,1860/2509/6252/11659
5462,Goorambat,,VIC,Victoria,3725,Rural locality,-36.4068,145.92056,162,297,107.959,Benalla (Rural City),Australia/Melbourne,991/1799/2057/2751/3839/5438/12378/14631
5463,Goorangoola,,NSW,New South Wales,2330,Rural locality,-32.29211,151.17534,271,53,83.894,Singleton (Area),Australia/Sydney,1613/2554/3735/5609/5992/9303/12362
5464,Goorganga Creek,,QLD,Queensland,4800,Rural locality,-20.49948,148.46744,47,7,61.441,Whitsunday (Regional Council),Australia/Brisbane,225/5758/6828/10606/12000/13074
5465,Goorganga Plains,,QLD,Queensland,4800,Rural locality,-20.48455,148.60349,9,0,110.504,Whitsunday (Regional Council),Australia/Brisbane,1690/3116/5290/5758/6828/7611/11039/13074
5466,Goorianawa,,NSW,New South Wales,2396,Rural locality,-31.06739,149.02002,385,28,210.439,Warrumbungle Shire (Area),Australia/Sydney,771/1247/1943/9332/14053
5467,Goornong,,VIC,Victoria,3557,Urban locality,-36.61488,144.50606,149,654,122.659,Greater Bendigo (City),Australia/Melbourne,452/504/505/711/4890/6677/9562/9592/11642/14213
5468,Gooroc,,VIC,Victoria,3477,Rural locality,-36.46743,143.20754,161,19,51.82,Northern Grampians (Shire),Australia/Melbourne,3216/3217/3251/12050/12615
5469,Gooroolba,,QLD,Queensland,4625,Rural locality,-25.50564,151.80879,163,12,31.353,North Burnett (Regional Council),Australia/Brisbane,2208/3870/5167/9316/14365/14561
5470,Gooseberry Hill,Perth,WA,Western Australia,6076,Suburb,-31.95576,116.04986,232,3279,8.307,Kalamunda (City),Australia/Perth,3708/5967/6003/6637/8034/10766
5471,Gootchie,,QLD,Queensland,4650,Rural locality,-25.85127,152.55655,32,96,34.63,Fraser Coast (Regional Council),Australia/Brisbane,803/804/5357/5737/6707/10597/12993
5472,Goovigen,,QLD,Queensland,4702,Rural locality,-24.14687,150.28619,132,215,292.263,Banana (Shire),Australia/Brisbane,324/4091/5670/7110/12073/14825
5473,Goowarra,,QLD,Queensland,4702,Rural locality,-23.66382,149.41477,119,19,413.563,Central Highlands (Regional Council),Australia/Brisbane,535/3888/4046/7986/13837
5474,Gorae,,VIC,Victoria,3305,Rural locality,-38.24085,141.55627,97,188,71.352,Glenelg (Shire),Australia/Melbourne,1403/4030/5475/5986/6056/10982
5475,Gorae West,,VIC,Victoria,3305,Rural locality,-38.25966,141.50041,73,227,70.416,Glenelg (Shire),Australia/Melbourne,2416/2575/4030/5474/9295/10982
5476,Goranba,,QLD,Queensland,4421,Rural locality,-27.28534,150.59914,351,187,346.707,Western Downs (Regional Council),Australia/Brisbane,7101/8225/12799/14234
5477,Gordon,Canberra,ACT,Australian Capital Territory,2906,Suburb,-35.45055,149.08345,578,7611,4.442,Unincorporated,Australia/Sydney,640/1451/2298/3087/6425/13399
5478,Gordon,Sydney,NSW,New South Wales,2072,Suburb,-33.75577,151.15284,130,7668,3.789,Ku-ring-gai (Area),Australia/Sydney,4240/6956/11108/12406/14338
5479,Gordon,,TAS,Tasmania,7150,Rural locality,-43.26152,147.24083,4,199,19.32,Kingborough (Municipality),Australia/Hobart,5008/8569/13701
5480,Gordon,,VIC,Victoria,3345,Urban locality,-37.58073,144.10392,592,1151,46.106,Moorabool (Shire),Australia/Melbourne,567/1404/2034/8613/9149/12257/13812
5481,Gordonbrook,,QLD,Queensland,4610,Rural locality,-26.42629,151.64843,378,175,197.685,South Burnett (Regional Council),Australia/Brisbane,3413/3678/6387/6996/8436/14119/14488/14883
5482,Gordon Park,Brisbane,QLD,Queensland,4031,Suburb,-27.41496,153.02688,29,4231,1.153,Brisbane (City),Australia/Brisbane,5540/6803/7932/12315
5483,Gordonstone,,QLD,Queensland,4702,Rural locality,-23.31205,148.12798,196,3,261.78,Central Highlands (Regional Council),Australia/Brisbane,2787/3441/4863/6059/14996
5484,Gordonvale,,QLD,Queensland,4865,Urban locality,-17.09283,145.78496,25,6671,57.064,Cairns (Regional Council),Australia/Brisbane,165/5398/5601/7434/7723/9283/10428/14887/14918
5485,Gore,,QLD,Queensland,4352,Rural locality,-28.29917,151.48676,518,36,324.626,Goondiwindi (Regional Council),Australia/Brisbane,2655/6738/9040/10322/12953
5486,Gorge Creek,,NSW,New South Wales,2469,Rural locality,-28.74636,152.69524,222,11,50.438,Kyogle (Area),Australia/Sydney,469/1419/1575/2317/10621/11916/13044/13436
5487,Gorge Rock,,WA,Western Australia,6375,Rural locality,-32.4572,117.9917,306,33,248.161,Corrigin (Shire),Australia/Perth,1969/3315/7114/7220/7263
5488,Gormandale,,VIC,Victoria,3873,Rural locality,-38.29425,146.70185,145,321,92.761,Wellington (Shire),Australia/Melbourne,2281/2534/4823/6057/14540/14544
5489,Gormans Hill,Bathurst,NSW,New South Wales,2795,Suburb,-33.43404,149.59043,663,785,16.491,Bathurst Regional (Area),Australia/Sydney,795/6829/10376/10714/12115/13020/14410
5490,Gormanston,,TAS,Tasmania,7466,Rural locality,-42.07159,145.59745,361,17,68.817,West Coast (Municipality),Australia/Hobart,7390/11139/12220/14273
5491,Gorokan,Central Coast,NSW,New South Wales,2263,Suburb,-33.25754,151.5104,12,8367,3.087,Central Coast (City),Australia/Sydney,6717/7372
5492,Goroke,,VIC,Victoria,3412,Urban locality,-36.71837,141.47298,166,299,323.248,West Wimmera (Shire),Australia/Melbourne,5781/6755/7712/10204/10422/10707
5493,Gorrie,,WA,Western Australia,6556,Rural locality,-31.90861,116.31083,303,0,26.333,Mundaring (Shire),Australia/Perth,2761/8082/11802/13021
5494,Goschen,,VIC,Victoria,3585,Rural locality,-35.47592,143.45286,100,27,161.465,Swan Hill (Rural City),Australia/Melbourne,2589/7233/7427/8386/12636/12637/13521/13522
5495,Gosford,Central Coast,NSW,New South Wales,2250,Suburb,-33.42694,151.34184,9,3499,2.951,Central Coast (City),Australia/Sydney,4230/9680/10054/10888/12271/14294/14990
5496,Gosforth,,NSW,New South Wales,2320,Rural locality,-32.65671,151.48815,32,84,6.665,Maitland (City),Australia/Sydney,212/6109/11527/14583
5497,Goshen,,TAS,Tasmania,7216,Rural locality,-41.27192,148.09902,78,93,163.941,Break O'Day (Municipality),Australia/Hobart,252/5505/8300/11106/12392/13005
5498,Gosnells,Perth,WA,Western Australia,6110,Suburb,-32.07201,116.00236,22,20293,15.62,Gosnells (City),Australia/Perth,2675/6287/6827/8011/8267/12142/13084
5499,Gosse,,SA,South Australia,5223,Rural locality,-35.76168,136.97036,248,40,292.588,Kangaroo Island (District Council),Australia/Adelaide,2415/3797/4096/4798/6739/8562/9855/14289
5500,Gostwyck,,NSW,New South Wales,2358,Rural locality,-30.70224,151.63254,1024,27,83.867,Uralla (Area),Australia/Sydney,3674/8586/11704/13634
5501,Goughs Bay,,VIC,Victoria,3723,Rural locality,-37.17671,146.06354,322,261,37.46,Mansfield (Shire),Australia/Melbourne,6246/7359/8153/9057/10855
5502,Goulburn,,NSW,New South Wales,2580,Major urban locality,-34.75535,149.71782,641,22419,55.576,Goulburn Mulwaree (Area),Australia/Sydney,805/1620/1768/7013/8545/11643/12830/13169/13328
5503,Goulburn Weir,,VIC,Victoria,3608,Rural locality,-36.71892,145.16583,135,82,19.516,Strathbogie (Shire),Australia/Melbourne,7079/9496/13769/14435
5504,Gould Creek,,SA,South Australia,5114,Rural locality,-34.7329,138.7173,250,242,23.435,Playford (City),Australia/Adelaide,5389/5642/6093/7863/10330/11700/11720/13585
5505,Goulds Country,,TAS,Tasmania,7216,Rural locality,-41.24714,148.07254,154,77,80.801,Break O'Day (Municipality),Australia/Hobart,252/5192/5497/7833/11106/14195
5506,Gouldsville,,NSW,New South Wales,2330,Rural locality,-32.57364,151.09065,68,13,5.333,Singleton (Area),Australia/Sydney,5829/7806/8049/9333/13983/14977
5507,Gowan,,NSW,New South Wales,2795,Rural locality,-33.2006,149.34917,854,32,134.296,Bathurst Regional (Area),Australia/Sydney,1870/4936/6100/6972/7619/7867/10345/13366
5508,Gowanbrae,Melbourne,VIC,Victoria,3043,Suburb,-37.70632,144.89489,94,2773,1.048,Moreland (City),Australia/Melbourne,5194/5340/12511/13409
5509,Gowanford,,VIC,Victoria,3544,Rural locality,-35.41667,143.2,60,3,48.644,Swan Hill (Rural City),Australia/Melbourne,10152/13521/13779
5510,Gowang,,NSW,New South Wales,2357,Rural locality,-31.42563,149.08096,725,21,212.306,Warrumbungle Shire (Area),Australia/Sydney,8803/12781/13262/14053/14130
5511,Gowangardie,,VIC,Victoria,3669,Rural locality,-36.47573,145.71785,162,16,35.265,Greater Shepparton (City),Australia/Melbourne,2376/3327/4193/7137/9631/13549
5512,Gowar East,,VIC,Victoria,3477,Rural locality,-36.54157,143.38675,167,20,74.176,Loddon (Shire),Australia/Melbourne,1065/3216/4693/7157/7776/12050/12354/15151
5513,Gower,,VIC,Victoria,3463,Rural locality,-37.03054,144.09934,301,45,27.986,Mount Alexander (Shire),Australia/Melbourne,8069/9384/9385/9883/13865/14216
5514,Gowrie,Canberra,ACT,Australian Capital Territory,2904,Suburb,-35.41342,149.10847,611,3056,1.932,Unincorporated,Australia/Sydney,2790/4629/6425/8819/11354/13941
5515,Gowrie,Singleton,NSW,New South Wales,2330,Suburb,-32.56022,151.14418,123,323,4.603,Singleton (Area),Australia/Sydney,3704/5331/7806/8049/8347/12024/12026/14977
5516,Gowrie,,NSW,New South Wales,2340,Rural locality,-31.33302,150.85839,505,92,126.909,Tamworth Regional (Area),Australia/Sydney,3566/4157/5022/5458/11154/13810/14249
5517,Gowrie Junction,,QLD,Queensland,4352,Rural locality,-27.49485,151.88981,482,2120,25.636,Toowoomba (Regional Council),Australia/Brisbane,1212/2636/2708/3335/3410/5233/7033
5518,Gowrie Little Plain,,QLD,Queensland,4352,Urban locality,-27.42495,151.85689,449,65,11.694,Toowoomba (Regional Council),Australia/Brisbane,3593/5233/7033/7654/8474/15018
5519,Gowrie Mountain,,QLD,Queensland,4350,Urban locality,-27.51257,151.82025,498,224,2.008,Toowoomba (Regional Council),Australia/Brisbane,2708/7033/14199
5520,Gowrie Park,,TAS,Tasmania,7306,Rural locality,-41.47062,146.21336,290,32,10.875,Kentish (Municipality),Australia/Hobart,2853/9299/12360
5521,Gowrie Station,,QLD,Queensland,4470,Rural locality,-26.08497,146.41465,332,15,1379.942,Murweh (Shire),Australia/Brisbane,421/2701/2826/12101/13966
5522,Goyder,,SA,South Australia,5461,Rural locality,-34.08837,138.24548,60,28,48.179,Wakefield (District Council),Australia/Adelaide,848/1612/9331/9666/14429
5523,Grabben Gullen,,NSW,New South Wales,2583,Rural locality,-34.54547,149.41092,923,253,84.529,Upper Lachlan Shire (Area),Australia/Sydney,653/1109/3455/5766/7831/14381
5524,Gracemere,,QLD,Queensland,4702,Urban locality,-23.4358,150.45516,28,11315,69.996,Rockhampton (Regional Council),Australia/Brisbane,1578/4646/6625/9932/10959
5525,Grace Plains,,SA,South Australia,5502,Rural locality,-34.35969,138.49196,45,54,56.534,Mallala (District Council),Australia/Adelaide,665/2286/8075/10403/10815
5526,Gracetown,,WA,Western Australia,6284,Rural locality,-33.86726,114.98587,27,237,40.125,Augusta-Margaret River (Shire),Australia/Perth,2115/3361/14567
5527,Graceville,Brisbane,QLD,Queensland,4075,Suburb,-27.52028,152.97543,16,4634,1.876,Brisbane (City),Australia/Brisbane,2726/11975/12928
5528,Gradys Creek,,NSW,New South Wales,2474,Rural locality,-28.41648,152.97769,113,47,70.998,Kyogle (Area),Australia/Sydney,1550/3341/4735/7745/7938/10303/11636/12946/13048
5529,Grafton,,NSW,New South Wales,2460,Urban locality,-29.69123,152.93331,11,10408,12.67,Clarence Valley (Area),Australia/Sydney,178/2555/2556/2557/2845/5576/12150/14094
5530,Gragin,,NSW,New South Wales,2403,Rural locality,-29.55867,150.76382,458,3,27.921,Inverell (Area),Australia/Sydney,3796
5531,Grahams Creek,,QLD,Queensland,4650,Rural locality,-25.56955,152.59611,19,157,15.366,Fraser Coast (Regional Council),Australia/Brisbane,9469/13141/13142/15174/15185
5532,Grahamstown,,NSW,New South Wales,2729,Rural locality,-35.26474,148.03555,268,61,33.844,Snowy Valleys (Area),Australia/Sydney,53/626/2262/9056/9191/11762
5533,Grahamvale,,VIC,Victoria,3631,Rural locality,-36.34761,145.43179,118,682,14.97,Greater Shepparton (City),Australia/Melbourne,3098/7580/11965/11966/11967
5534,Graman,,NSW,New South Wales,2360,Rural locality,-29.46747,150.92668,608,103,308.612,Inverell (Area),Australia/Sydney,385/548/1948/2745/3154/3796/13830
5535,Grampians,,VIC,Victoria,3314,Rural locality,-37.31671,142.48408,360,0,313.558,Southern Grampians (Shire),Australia/Melbourne,954/5289/8015/8724/8933/13714/13719
5536,Granadilla,,QLD,Queensland,4855,Rural locality,-17.85645,146.02585,27,88,32.319,Cassowary Coast (Regional Council),Australia/Brisbane,3913/4226/4365/4951/8200/9232/12756
5537,Grandchester,,QLD,Queensland,4340,Rural locality,-27.66054,152.46444,93,444,57.385,Ipswich (City),Australia/Brisbane,2297/7323/7327/7875/9260/9405/12562/14850
5538,Grand Ridge,,VIC,Victoria,3870,Rural locality,-38.49251,146.44094,308,12,138.749,Wellington (Shire),Australia/Melbourne,602/1473/1934/5756/6058/6496/6608/8008/13261/14743
5539,Grand Secret,Charters Towers,QLD,Queensland,4820,Suburb,-20.07615,146.24486,332,168,0.334,Charters Towers (Regional Council),Australia/Brisbane,75/2715/11367/12137/13189
5540,Grange,Brisbane,QLD,Queensland,4051,Suburb,-27.426,153.01479,35,4318,1.776,Brisbane (City),Australia/Brisbane,100/5482/7932/9863/12315/14562/14594
5541,Grange,Adelaide,SA,South Australia,5022,Suburb,-34.89981,138.48941,11,5916,3.559,Charles Sturt (City),Australia/Adelaide,4961/6016/11863/12929/14308
5542,Granite Rock,,VIC,Victoria,3875,Rural locality,-37.75696,147.67194,116,248,16.685,East Gippsland (Shire),Australia/Melbourne,2889/4648/7910/11788/14999
