ageID,head_campus_ageID,school_name,street,town_suburb,postcode,level_of_schooling,school_gender,sector,systemic,school_affiliation,diocese,sys_num,sys_desc,school _specialty_indicator,campus_level,school_url,lga,electorate_code,fed_electorate,SA3,SA4,ASGS_remoteness,latitude,longitude
28906,28906,St Justin's Catholic Primary School,94 Oran Park Drive,Oran Park,2570,Primary,Co-ed,Catholic,Systemic,Catholic (Roman),Wollongong,4101,Catholic System NSW,Non special,Primary,http://www.sjopdow.catholic.edu.au,Camden (A),Camden,Macarthur,Camden,Sydney - Outer South West,Major Cities of Australia,-34.020017,150.742401
28907,28907,St Benedict's Catholic College,70 Oran Park Drive,Oran Park,2570,Secondary,Co-ed,Catholic,Systemic,Catholic (Roman),Wollongong,4101,Catholic System NSW,Non special,Secondary,http://www.sbccdow.catholic.edu.au,Campbelltown (C),Camden,Hume,Bringelly - Green Valley,Sydney - South West,Major Cities of Australia,-34.025859,150.699271
28908,28908,Redfern Jarjum College,117 Redfern Street,Redfern,2016,Primary,Co-ed,Independent,Non-Systemic,Catholic (Roman),,0,,Special,Primary,http://www.rjc.nsw.edu.au/,Sydney (C),Newtown,Sydney,Sydney Inner City,Sydney - City and Inner South,Major Cities of Australia,-33.892973,151.20261
28974,28974,Farmhouse Montessori School,9 Bardoo Avenue,North Balgowlah,2093,Primary,Co-ed,Independent,Non-Systemic,Montessori School,,0,,Non special,Primary,http://farmhousemontessori.org.au/,Warringah (A),Manly,Warringah,Warringah,Sydney - Northern Beaches,Major Cities of Australia,-33.783352,151.246409
29018,29018,Macquarie Grammar School,225 Clarence Street,Sydney,2000,Secondary,Co-ed,Independent,Non-Systemic,Other,,0,,Non special,Secondary,http://www.macquariegrammarschool.edu.au,Sydney (C),Sydney,Sydney,Sydney Inner City,Sydney - City and Inner South,Major Cities of Australia,-33.8701,151.205138
29067,29067,St Andrew's Cathedral Gawura School,Sydney Square,Sydney,2000,Primary,Co-ed,Independent,Non-Systemic,Anglican,,0,,Non special,Primary,http://www.gawura.nsw.edu.au/,Sydney (C),Sydney,Sydney,Sydney Inner City,Sydney - City and Inner South,Major Cities of Australia,-33.873934,151.205644
29072,29072,TLK Alesco School,Lot 7026 Shannon Parade,Berkeley Vale,2261,Secondary,Co-ed,Independent,Non-Systemic,Non-Denominational,,0,,Special,Secondary,http://tlkalesco.nsw.edu.au/,Wyong (A),The Entrance,Dobell,Wyong,Central Coast,Major Cities of Australia,-33.34772,151.435601
29085,29085,ALESCO Illawarra,50-52 Auburn Street,Wollongong,2500,Secondary,Co-ed,Independent,Non-Systemic,Non-Denominational,,0,,Special,Secondary,www.alescoillawarra.nsw.edu.au,Wollongong (C),Wollongong,Cunningham,Wollongong,Illawarra,Major Cities of Australia,-34.430408,150.88851
29088,29088,Alpha Omega Senior College,Level 4  1-5 Harrow Road,Auburn,2144,Secondary,Co-ed,Independent,Non-Systemic,Non-Denominational,,0,,Non special,Secondary,http://www.aosc.nsw.edu.au/,Auburn (C),Auburn,Blaxland,Auburn,Sydney - Parramatta,Major Cities of Australia,-33.850765,151.031329
29102,29102,Aspect Macarthur School,229 Macquarie Grove Road,Cobbitty,2570,Special,Co-ed,Independent,Non-Systemic,Non-Denominational,,0,,Special,Special,www.autismspectrum.org.au,Camden (A),Camden,Hume,Bringelly - Green Valley,Sydney - South West,Major Cities of Australia,-34.032094,150.705575
29104,29104,Aspect Riverina School,437 Olive Street,Albury,2640,Special,Co-ed,Independent,Non-Systemic,Non-Denominational,,0,,Special,Special,https://www.autismspectrum.org.au/school/aspect-riverina-school-0,Albury (C),Albury,Farrer,Albury,Murray,Inner Regional Australia,-36.084338,146.917576
29275,29275,St Andrew's Cathedral School,St Andrew's House 474 Kent St,Sydney,2000,Combined,Co-ed,Independent,Non-Systemic,Anglican,,0,,Non special,Combined,http://www.sacs.nsw.edu.au,Sydney (C),Sydney,Sydney,Sydney Inner City,Sydney - City and Inner South,Major Cities of Australia,-33.873885,151.205524
29281,29281,Rosary Park Catholic School,Station Street,Branxton,2335,Primary,Co-ed,Catholic,Systemic,Catholic (Roman),Maitland,4101,Catholic System NSW,Non special,Primary,http://www.branxton.catholic.edu.au/,Cessnock (C),Cessnock,Hunter,Lower Hunter,Hunter Valley exc Newcastle,Inner Regional Australia,-32.656321,151.347359
29282,29282,St Ambrose Catholic Primary School,Lot 3  Elizabeth Street,Pottsville,2689,Primary,Co-ed,Catholic,Systemic,Catholic (Roman),Lismore,4101,Catholic System NSW,Non special,Primary,https://sites.google.com/a/syd.catholic.edu.au/stambconcord/,Tweed (A),Tweed,Richmond,Tweed Valley,Richmond - Tweed,Major Cities of Australia,-28.39192,153.56294
29359,29359,Salamah College,40 Hector Street,Chester Hill,2162,Combined,Co-ed,Independent,Non-Systemic,Islamic,,0,,Non special,Combined,http://www.salamah.nsw.edu.au/,Bankstown (C),Bankstown,Blaxland,Merrylands - Guildford,Sydney - Parramatta,Major Cities of Australia,-33.875947,151.005794
29666,29666,Al Hikma College,291 Haldon Street,Lakemba,2195,Primary,Co-ed,Independent,Non-Systemic,Islamic,,0,,Non special,Primary,http://alhikma.nsw.edu.au/,Canterbury (C),Lakemba,Watson,Canterbury,Sydney - Inner South West,Major Cities of Australia,-33.926124,151.081249
29740,29740,Pittwater House Schools,Westmoreland Avenue,Collaroy,2097,Combined,Co-ed,Independent,Non-Systemic,Non-Denominational,,0,,Non special,Combined,http://www.pittwaterhouse.com.au/,Warringah (A),Wakehurst,Mackellar,Warringah,Sydney - Northern Beaches,Major Cities of Australia,-33.741707,151.29277
29772,29772,EDEN College,86 Parliament Road,Macquarie Fields,2564,Secondary,Co-ed,Independent,Non-Systemic,Non-Denominational,,0,,Special,Secondary,https://youthoffthestreets.com.au/programs/eden-college/,Campbelltown (C),Macquarie Fields,Werriwa,Campbelltown (NSW),Sydney - Outer South West,Major Cities of Australia,-33.989261,150.891887
29801,29801,St Carthage's Primary School,2 Dawson Street,Lismore,2480,Primary,Co-ed,Catholic,Systemic,Catholic (Roman),Lismore,4101,Catholic System NSW,Non special,Primary,http://www.stcarthlism.catholic.edu.au,Lismore (C),Lismore,Page,Richmond Valley - Hinterland,Richmond - Tweed,Inner Regional Australia,-28.803682,153.284482
29804,29804,Good Samaritan Catholic Primary School,48 McGrath Street,Fairy Meadow,2519,Primary,Co-ed,Catholic,Systemic,Catholic (Roman),Wollongong,4101,Catholic System NSW,Non special,Primary,http://www.gsfmdow.catholic.edu.au/,Wollongong (C),Keira,Cunningham,Wollongong,Illawarra,Major Cities of Australia,-34.39783,150.890116
29821,29821,Western Grammar School,15 Cannery Road,Plumpton,2671,Combined,Co-ed,Independent,Non-Systemic,Islamic,,0,,Non special,Combined,http://www.westerngrammar.com.au,Blacktown (C),Mount Druitt,Chifley,Mount Druitt,Sydney - Blacktown,Major Cities of Australia,-33.74973,150.835912
29897,29897,St Brigid's Catholic College,48 Carter's Road,Lake Munmorah,2259,Secondary,Co-ed,Catholic,Systemic,Catholic (Roman),Broken Bay,4101,Catholic System NSW,Non special,Secondary,http://www.sbccdbb.catholic.edu.au,Wyong (A),Swansea,Shortland,Wyong,Central Coast,Major Cities of Australia,-33.187111,151.573255
29950,29950,ET Australia Secondary College,123 Donnison Street,Gosford,2250,Secondary,Co-ed,Independent,Non-Systemic,Other,,0,,Special,Secondary,http://www.etaustralia.com/,Gosford (C),Gosford,Robertson,Gosford,Central Coast,Major Cities of Australia,-33.427621,151.342756
29962,29962,Wollongong Flexible Learning Centre,440-450 Princes Highway,Towradgi,2518,Secondary,Co-ed,Independent,Non-Systemic,Catholic (Roman),,0,,Special,Secondary,http://www.youthplus.edu.au/schools-services-details/youth-schools-network/flc-wollongong/wollongong-flexible-learning-centre.html,Wollongong (C),Wollongong,Cunningham,Wollongong,Illawarra,Major Cities of Australia,-34.38325,150.895325
29964,29964,Aurora Southern Highlands Steiner School,15-17 Kirkham Road,Bowral,2576,Primary,Co-ed,Independent,Non-Systemic,Steiner School,,0,,Non special,Primary,http://aurorasteiner.nsw.edu.au/,Wingecarribee (A),Wollondilly,Whitlam,Southern Highlands,Southern Highlands and Shoalhaven,Inner Regional Australia,-34.471784,150.419022
29968,29968,International Football School,16 The Avenue Mt Penang Parklands,Kariong,2250,Combined,Co-ed,Independent,Non-Systemic,Non-Denominational,,0,,Non special,Combined,www.internationalfootballschool.com,Gosford (C),Gosford,Robertson,Gosford,Central Coast,Major Cities of Australia,-33.429124,151.298282
29979,29979,Pal Buddhist School,14 First Avenue,Canley Vale,2166,Secondary,Co-ed,Independent,Non-Systemic,Other,,0,,Non special,Secondary,http://pal.nsw.edu.au/,Fairfield (C),Fairfield,Fowler,Fairfield,Sydney - South West,Major Cities of Australia,-33.887851,150.943881
29982,29982,Irfan College,2089 Elizabeth Drive,Cecil Park,2178,Primary,Co-ed,Independent,Non-Systemic,Islamic,,0,,Non special,Primary,http://www.irfancollege.nsw.edu.au/,Fairfield (C),Mulgoa,McMahon,Fairfield,Sydney - South West,Major Cities of Australia,-33.876415,150.825571
29993,29993,St Aloysius Catholic Primary School,24 Heritage Drive,Chisholm,2322,Primary,Co-ed,Catholic,Systemic,Catholic (Roman),Maitland,4101,Catholic System NSW,Non special,Primary,http://www.mn.catholic.edu.au/schools/region-map/all-saints/chisholm-st-aloysius-catholic-primary-school,Maitland (C),Maitland,Paterson,Maitland,Hunter Valley exc Newcastle,Major Cities of Australia,-32.7558,151.6332
30001,30001,Craig Davis College,72-98 Staff Road,Cordeaux Heights,2526,Secondary,Co-ed,Independent,Non-Systemic,Non-Denominational,,0,,Special,Secondary,https://youthoffthestreets.com.au/programs/craig-davis-college/,Wollongong (C),Wollongong,Cunningham,Dapto - Port Kembla,Illawarra,Major Cities of Australia,-34.446484,150.830947
30148,30148,ALESCO Learning Centre Far West,1a Wentworth Road,Broken Hill,2880,Secondary,Co-ed,Independent,Non-Systemic,Non-Denominational,,0,,Special,Secondary,NULL,Broken Hill (C),Barwon,Parkes,Broken Hill and Far West,Far West and Orana,Outer Regional Australia,-31.98769,141.452872
30150,30150,Ngaruki Gulgul,Gate 1  Kangoo Road,Kariong,2250,Secondary,Co-ed,Independent,Non-Systemic,Non-Denominational,,0,,Special,Secondary,http://www.youthconnections.com.au/ngc,Gosford (C),Gosford,Robertson,Gosford,Central Coast,Inner Regional Australia,-33.427649,151.290301
30169,30169,Western College Alesco Learning Centre,37 Cobbora Road,Dubbo,2830,Combined,Co-ed,Independent,Non-Systemic,Non-Denominational,,0,,Special,Secondary,http://www.westerncollege.com.au/,Dubbo (C),Dubbo,Parkes,Dubbo,Far West and Orana,Inner Regional Australia,-32.243946,148.618789
30170,30170,Australian International Academy  Kellyville Campus,57-69 Samantha Riley Drive,Kellyville,2155,Combined,Co-ed,Independent,Non-Systemic,Islamic,,0,,Non special,Combined,NULL,The Hills Shire (A),Castle Hill,Mitchell,Rouse Hill - McGraths Hill,Sydney - Baulkham Hills and Hawkesbury,Major Cities of Australia,-33.697254,150.963129
